ASUID,enrollmentDate,gradDate,creditsEarned,Major,Minor,GPA
1125831881,2025-05-26,2028-09-30,124,Window,Price,2.51
1882977063,2025-01-31,2030-03-11,119,Source,Those,2.23
1001605084,2023-06-26,2030-03-22,83,Make,Leg,2.21
1687700628,2024-07-15,2025-07-05,97,Resource,Lead,2.42
1262913198,2024-08-18,2029-11-06,52,Me,N/A,3.37
1585177519,2021-05-19,2022-04-23,19,Wide,Part,2.99
1382539002,2023-10-21,2029-07-13,96,Whatever,N/A,2.07
1807103290,2023-12-23,2025-03-10,74,Marriage,Improve,3.11
1004023200,2022-12-14,2028-06-01,27,Check,Law,2.07
1381903879,2024-12-20,2027-12-27,46,Political,N/A,3.28
1790043569,2024-01-10,2027-05-02,119,Kitchen,Including,3.27
1221293190,2024-03-31,2024-07-13,114,Dog,Road,2.88
1408000766,2024-11-03,2027-10-08,45,Happen,N/A,3.3
1046134080,2023-10-03,2023-12-18,114,Finally,N/A,2.15
1422013471,2023-11-06,2028-10-20,17,Begin,Value,2.4
1175217798,2024-11-13,2028-10-29,73,Card,N/A,2.97
1474620145,2021-02-04,2021-07-02,7,Position,Style,2.21
1854065122,2025-03-22,2029-04-01,44,Beat,Class,3.62
1132487092,2023-04-24,2024-06-07,122,Important,Memory,3.2
1406866484,2025-10-13,2029-02-06,130,Base,N/A,2.66
1652896871,2021-05-20,2028-01-22,134,Into,N/A,3.74
1134082754,2025-09-15,2027-02-16,56,Wonder,N/A,2.92
1805425540,2025-10-04,2028-03-09,26,Gun,N/A,3.94
1769661484,2023-04-23,2025-08-25,122,Group,N/A,2.78
1419816316,2021-03-28,2024-05-25,34,Within,N/A,2.47
1321314775,2021-08-25,2028-08-20,32,Campaign,Only,2.58
1531201022,2024-02-09,2028-08-14,134,Run,N/A,2.58
1005129584,2021-02-01,2028-06-25,34,After,Prevent,2.27
1965438119,2025-07-27,2027-07-06,130,Marriage,Evening,2.55
1158845235,2023-09-20,2028-05-11,139,After,Your,3.66
1109403845,2021-12-31,2030-05-16,123,Money,Some,3.09
1741545461,2023-08-07,2024-06-12,109,Sport,N/A,2.9
1388567600,2021-04-19,2025-03-27,84,Sell,Group,2.2
1009234900,2025-10-21,2027-05-10,85,Business,N/A,3.55
1388431384,2021-08-09,2023-12-10,55,Production,N/A,2.69
1516734301,2024-05-02,2029-03-29,40,Yes,Kind,2.89
1206558964,2023-07-12,2027-07-15,1,Goal,N/A,3.94
1311961718,2022-04-25,2023-03-04,87,More,N/A,3.35
1636997020,2023-11-19,2024-08-30,131,Music,Either,2.6
1702471706,2024-01-05,2029-10-02,2,Plan,College,3.97
1425190839,2022-05-14,2023-01-14,3,Itself,N/A,2.06
1390278630,2021-06-05,2027-03-24,30,Hospital,N/A,3.2
1784077512,2024-10-07,2025-07-27,59,List,Before,3.63
1399705684,2024-08-14,2026-10-30,66,Already,N/A,3.59
1919768583,2024-12-02,2030-09-23,31,Customer,N/A,3.37
1171145425,2025-05-01,2026-01-02,109,Dark,Still,2.67
1835725428,2022-02-16,2029-04-29,94,Good,N/A,2.36
1246647269,2022-09-30,2022-11-20,93,Population,N/A,2.39
1480030321,2023-02-04,2026-01-29,67,Future,N/A,3.69
1009439267,2022-08-20,2024-01-09,133,Five,N/A,2.18
1837223258,2022-07-12,2030-08-28,0,Smile,Moment,2.84
1911474872,2021-02-23,2022-04-17,131,Which,N/A,3.35
1085787710,2024-02-12,2027-12-25,19,Of,N/A,3.08
1451974023,2022-06-06,2028-09-25,44,Mr,Group,3.69
1644011772,2025-08-15,2027-06-01,126,Receive,Successful,2.14
1791507869,2025-07-26,2027-10-09,140,Fight,Area,3.85
1912859023,2021-06-18,2030-06-13,41,Yeah,N/A,3.63
1337151295,2023-03-05,2025-12-15,0,Home,N/A,3.97
1938126771,2024-09-03,2024-10-07,53,Set,N/A,3.06
1466224941,2025-09-30,2030-09-29,77,Task,N/A,3.78
1070117488,2022-03-15,2024-12-02,60,Debate,N/A,2.2
1664249816,2025-04-19,2026-05-31,17,Even,Office,2.84
1153225826,2024-10-13,2025-09-10,131,Foreign,Production,3.61
1998382774,2024-09-01,2029-04-14,61,School,Meet,2.14
1443725162,2022-10-04,2025-08-04,56,Today,N/A,2.14
1001658775,2024-09-18,2028-11-11,84,Clear,N/A,3.24
1877496896,2022-08-24,2023-01-19,15,Lose,N/A,3.04
1688348711,2024-11-20,2029-04-04,132,Their,N/A,3.38
1941822355,2024-12-29,2028-02-26,20,Memory,N/A,3.19
1313550271,2021-05-03,2022-03-29,34,Person,Real,2.4
1574190861,2024-08-06,2028-11-23,21,Drug,Agreement,2.16
1100800966,2021-01-05,2023-05-02,56,Civil,N/A,2.8
1932112285,2022-12-04,2023-01-22,60,Language,Cut,3.6
1118891711,2024-12-21,2025-11-20,9,Respond,Explain,2.94
1424222123,2022-11-24,2023-02-02,50,Day,Out,2.39
1451631357,2024-02-07,2028-09-28,131,Check,N/A,3.97
1024437665,2022-01-23,2030-09-09,26,Officer,N/A,3.93
1935790963,2025-05-16,2029-02-03,74,Amount,Morning,3.33
1782635031,2022-10-26,2029-12-30,124,Material,N/A,3.07
1556782227,2022-06-17,2028-06-12,23,Scientist,Issue,2.62
1999098576,2021-09-04,2023-02-05,128,Real,N/A,3.36
1387801982,2022-01-29,2023-01-03,120,Mouth,N/A,2.34
1297273441,2021-09-15,2027-05-13,109,Window,Fill,2.35
1061077116,2024-11-03,2025-12-23,134,South,N/A,2.52
1777769916,2021-03-08,2029-12-26,96,Agency,Fill,3.29
1712280578,2022-11-10,2028-08-13,106,He,But,3.58
1278770000,2021-07-12,2029-01-03,105,Resource,Mrs,2.47
1499551312,2025-10-18,2027-03-13,81,Language,Everyone,3.48
1842320733,2023-05-02,2029-10-06,135,And,N/A,2.81
1246633490,2021-08-28,2027-11-22,135,Need,N/A,3.59
1348152801,2021-06-21,2024-11-14,34,Line,N/A,2.78
1785807720,2022-03-06,2023-05-08,72,Station,N/A,2.35
1604388368,2025-09-22,2025-12-20,29,Live,Kid,2.06
1780078311,2025-04-21,2030-02-02,11,Could,Behavior,2.39
1323742915,2023-05-25,2026-03-15,11,Man,Executive,2.3
1496594210,2023-06-25,2024-08-30,102,Nearly,Beat,2.46
1617822409,2024-10-25,2027-04-18,113,Seven,Paper,2.1
1713195722,2021-10-27,2028-08-25,29,American,Western,2.4
1897767352,2022-05-01,2029-10-28,90,Who,Activity,2.31
1693864426,2025-01-20,2028-12-28,58,Avoid,Early,2.92
1969504159,2025-06-08,2026-06-15,94,Him,Girl,3.67
1185771191,2023-09-29,2028-05-16,127,Friend,Government,3.83
1548551546,2023-10-10,2026-11-16,45,Education,Enough,2.84
1433507545,2021-08-24,2023-09-09,32,Career,Method,2.26
1217150605,2024-04-20,2027-05-21,77,Despite,Or,3.32
1907591570,2023-01-05,2024-01-16,69,Letter,N/A,3.92
1056208563,2022-03-18,2030-01-30,95,Travel,N/A,2.5
1576300267,2024-03-06,2027-09-13,44,In,N/A,3.11
1706098180,2021-06-29,2029-01-14,107,Pressure,Whose,2.76
1401648475,2023-07-26,2029-12-31,22,Message,Line,2.57
1518200632,2025-05-20,2030-05-01,93,Toward,Any,3.38
1043220090,2024-11-14,2025-01-20,50,Number,N/A,3.94
1810280208,2021-03-17,2023-10-27,13,Success,Personal,3.56
1441228913,2021-11-03,2027-11-18,13,Continue,N/A,2.99
1988245744,2023-06-26,2025-06-17,107,Administration,N/A,3.12
1101932413,2022-02-11,2024-07-27,123,If,N/A,3.97
1106133425,2021-03-28,2024-05-10,39,Form,N/A,2.25
1726958738,2023-12-30,2027-01-05,120,Remain,Sister,2.34
1529463433,2022-05-07,2028-07-17,66,Identify,N/A,3.52
1702361569,2022-04-26,2029-06-02,7,Continue,Red,3.94
1913550074,2023-07-10,2029-10-13,16,Radio,N/A,3.84
1217070379,2023-06-05,2029-06-09,66,Vote,N/A,2.52
1375043120,2021-05-28,2029-10-28,105,Body,Kind,3.13
1311804987,2022-10-28,2027-11-22,89,Let,N/A,3.21
1636468024,2025-05-15,2028-07-15,123,Agent,Property,2.04
1456682625,2022-10-23,2027-10-20,28,Degree,N/A,2.88
1076648554,2023-09-11,2024-10-16,61,Visit,Large,3.08
1490171785,2025-04-17,2027-09-24,54,Song,Rise,3.34
1182444578,2025-02-10,2027-07-31,132,Bill,N/A,3.1
1643650260,2024-04-17,2026-04-16,108,Collection,N/A,2.8
1835629714,2022-04-05,2028-02-21,78,Country,N/A,2.02
1190652827,2022-02-21,2024-06-14,23,Better,N/A,2.58
1152318491,2020-12-31,2021-02-21,38,Maybe,Meet,2.8
1346213695,2025-04-01,2029-03-11,75,Lose,Ever,3.38
1341893333,2022-05-11,2024-08-27,115,Team,Box,3.73
1466556889,2025-08-06,2027-10-22,56,Break,N/A,2.08
1086398930,2022-02-15,2023-12-28,95,Course,From,3.38
1197347857,2021-03-10,2021-04-19,15,Provide,N/A,3.91
1350283767,2025-01-24,2029-07-20,0,Final,Rest,2.02
1709736711,2022-05-03,2023-10-13,112,Less,Relationship,3.58
1409113920,2025-10-13,2030-03-19,90,Region,N/A,3.42
1975246468,2025-08-20,2026-12-16,64,Lawyer,Accept,2.31
1477735162,2021-07-06,2026-12-30,67,Deep,N/A,3.85
1140306269,2024-11-29,2025-11-25,88,Consumer,N/A,3.58
1305958391,2024-03-27,2024-08-04,55,Expert,Determine,3.84
1279184443,2020-11-29,2023-02-09,7,Strategy,N/A,2.23
1011467719,2024-09-17,2024-09-27,58,Century,N/A,2.97
1685620445,2025-09-16,2028-08-09,103,Buy,Artist,2.81
1759854846,2022-01-13,2024-09-14,128,Thus,N/A,2.13
1535610920,2022-01-30,2029-07-24,74,Home,N/A,3.36
1534318778,2024-02-20,2026-04-23,39,Kid,N/A,3.21
1899085743,2022-06-09,2023-11-05,122,Note,N/A,2.23
1709187526,2024-12-21,2027-07-08,3,Step,State,2.14
1181014596,2022-12-25,2030-07-31,62,Hard,N/A,3.47
1184586718,2025-02-28,2027-04-12,121,Tree,Claim,2.43
1379757936,2024-04-10,2028-09-29,140,National,N/A,2.71
1353279703,2021-11-07,2024-12-31,93,City,Whose,2.85
1953826012,2021-05-03,2028-08-29,98,Herself,Partner,2.13
1416436141,2024-04-15,2029-02-19,33,Including,N/A,3.48
1365171812,2021-07-10,2028-09-21,32,Notice,Reflect,2.34
1853577446,2025-10-04,2026-11-22,18,Fill,N/A,3.0
1895222707,2024-02-02,2024-11-26,90,Material,N/A,3.46
1391560087,2025-07-06,2027-03-02,81,Top,Instead,2.27
1586321279,2024-07-30,2030-03-15,49,Star,Commercial,2.83
1773956931,2025-10-07,2026-04-27,6,Protect,N/A,3.89
1353292227,2023-04-03,2023-09-13,118,Section,N/A,2.99
1854834513,2022-04-27,2025-07-23,50,Certain,Data,2.76
1627411524,2024-11-13,2029-01-06,19,Everything,Piece,3.75
1049450586,2021-03-01,2023-06-09,42,Choose,Rock,3.91
1631404882,2021-02-10,2023-08-19,36,Perhaps,N/A,2.89
1040322855,2025-01-25,2026-04-04,112,Thank,Society,2.22
1325098809,2025-01-14,2026-05-13,41,Apply,N/A,2.91
1524207394,2025-03-11,2026-10-15,4,Six,N/A,2.06
1747098210,2023-06-06,2024-12-28,3,Draw,N/A,3.69
1778533965,2021-02-17,2029-06-23,23,Four,Right,2.49
1486885569,2023-10-13,2026-03-22,136,Down,Remain,3.73
1292244153,2022-12-25,2027-10-26,116,Book,N/A,2.24
1942177921,2021-08-19,2021-10-18,3,Few,War,2.2
1177859654,2023-10-10,2029-05-21,15,Act,Record,3.92
1722882387,2024-01-11,2024-12-24,66,Message,Organization,3.08
1535011322,2023-11-19,2024-11-24,76,Themselves,N/A,2.75
1023207565,2024-02-10,2027-07-03,68,From,N/A,3.66
1180705896,2022-01-11,2023-02-24,43,City,At,3.55
1310082528,2021-04-16,2028-02-11,94,He,Finally,3.3
1684882352,2023-02-05,2026-03-13,127,Option,Senior,2.45
1207283904,2023-07-01,2028-04-15,23,Daughter,Break,3.48
1209101911,2025-06-17,2027-02-21,132,Politics,N/A,2.23
1270563610,2022-09-07,2026-01-24,123,True,Certain,3.03
1555893028,2022-05-03,2030-10-04,126,Forget,Go,2.46
1515513874,2024-07-05,2024-12-27,40,Bag,Prove,2.1
1283294010,2021-03-13,2030-02-02,50,Focus,N/A,2.84
1253651928,2022-06-06,2025-05-21,25,Word,Across,2.54
1688825411,2024-08-25,2027-07-21,10,Admit,Many,2.26
1894516391,2023-12-08,2030-04-14,129,Specific,N/A,3.87
1194939499,2022-12-28,2026-03-14,53,And,N/A,2.63
1766500466,2025-08-21,2025-11-17,108,Recently,N/A,3.96
1952459506,2021-09-09,2023-07-14,138,Candidate,N/A,3.48
1102713067,2020-11-02,2021-11-16,92,Walk,Save,2.41
1668359372,2024-02-01,2026-12-04,133,Weight,Pick,3.73
1149418223,2021-03-11,2024-09-26,12,Surface,Here,2.08
1270167214,2022-06-13,2028-02-21,79,Message,N/A,3.33
1987269219,2024-02-07,2027-03-30,27,Reality,N/A,3.16
1595550460,2022-10-07,2030-09-20,75,Think,N/A,2.77
1717261108,2021-12-15,2024-01-20,82,Choose,N/A,3.63
1595789758,2021-12-05,2025-06-30,33,But,Always,2.39
1260777937,2022-05-14,2023-03-04,44,Sometimes,Whose,2.22
1472578604,2022-11-27,2029-06-01,35,Lawyer,N/A,3.21
1274696549,2022-07-08,2026-12-17,37,Each,N/A,3.71
1650922892,2022-05-07,2023-05-10,45,Something,N/A,2.97
1760367717,2024-08-19,2025-08-20,21,Marriage,Present,2.12
1232806678,2022-04-08,2024-10-07,135,Blood,N/A,3.43
1388656326,2024-11-15,2025-08-05,12,Into,N/A,3.66
1437941261,2023-12-27,2029-09-12,92,But,N/A,3.68
1095730711,2023-10-19,2028-10-09,120,Southern,N/A,3.42
1613230254,2023-09-18,2026-10-17,9,Trip,N/A,2.92
1923705190,2022-07-31,2025-01-24,27,Property,Whose,2.71
1280342689,2022-08-08,2023-09-23,69,Hot,Compare,3.7
1489982040,2025-01-07,2029-10-20,35,Least,N/A,3.93
1056367391,2024-11-26,2025-01-22,47,Man,Special,2.93
1361386200,2025-02-20,2030-03-09,106,Season,N/A,2.26
1798155003,2021-04-23,2030-09-26,112,Go,Forget,2.55
1882147017,2024-10-18,2027-11-21,139,My,N/A,3.29
1464180617,2025-07-06,2027-01-24,127,Series,Television,3.11
1364349125,2023-07-24,2026-04-14,75,Road,Hold,2.24
1633333933,2022-02-08,2024-09-25,93,Great,N/A,3.42
1188712435,2021-10-26,2029-04-29,40,War,N/A,2.43
1266522493,2023-12-13,2027-02-08,105,Financial,Manage,3.83
1692179845,2021-08-03,2022-04-27,96,Good,Possible,3.4
1238567046,2024-12-27,2030-01-27,48,Wall,Share,2.19
1513719144,2025-08-31,2025-09-11,28,Again,Why,3.13
1418732739,2024-12-31,2029-05-06,111,Ten,Member,2.88
1646152181,2021-02-26,2022-04-12,67,Recognize,Store,4.0
1352361444,2023-06-03,2024-05-04,6,Cut,Piece,2.22
1811528016,2022-11-29,2030-04-11,138,Physical,Past,3.83
1897023628,2021-11-09,2027-11-29,116,Very,Stock,3.95
1252631970,2021-07-27,2030-03-28,92,Present,N/A,3.56
1328898661,2023-01-02,2029-02-04,39,Very,N/A,2.4
1876491183,2025-04-05,2027-10-06,32,Form,Nation,3.84
1962819630,2023-04-11,2025-04-03,79,Three,N/A,2.63
1055389825,2021-09-11,2026-04-16,45,Early,N/A,3.14
1616484601,2024-11-08,2028-05-22,61,Own,N/A,2.62
1683212031,2025-08-15,2026-02-11,78,Many,N/A,2.21
1593861436,2021-04-09,2027-10-22,97,Me,Management,3.93
1658975645,2024-07-25,2025-07-17,68,Anyone,Too,3.1
1120757896,2023-07-27,2030-08-13,118,Region,N/A,2.77
1117997052,2021-10-02,2022-06-20,136,But,N/A,3.72
1158536625,2022-02-28,2025-10-23,16,Two,N/A,2.15
1976076897,2025-08-13,2027-02-27,46,Whom,Environment,2.99
1392625865,2022-08-30,2030-03-02,111,Can,N/A,2.98
1162480827,2025-04-19,2027-05-24,37,Sell,Itself,3.61
1584883790,2023-06-08,2023-11-15,35,Oil,N/A,2.26
1032900804,2022-03-17,2024-09-10,24,Science,N/A,2.44
1822157665,2023-04-07,2028-10-21,139,Myself,Argue,2.54
1326394194,2022-08-04,2027-10-04,76,Government,If,2.59
1390499489,2024-07-16,2025-02-01,135,Blue,N/A,3.47
1947759654,2022-11-23,2028-08-15,6,Tax,Hot,2.83
1237538344,2024-12-09,2027-07-03,22,Include,Morning,2.2
1996638868,2024-12-27,2026-08-08,18,Half,Can,2.06
1378725392,2025-09-24,2029-11-10,119,Event,Six,2.75
1894945070,2024-11-02,2029-09-16,125,Score,Heavy,3.89
1261858260,2025-04-09,2030-09-16,34,Later,Hold,3.23
1774551641,2025-03-12,2027-08-26,5,Half,Bed,2.51
1751187460,2020-11-28,2028-04-14,111,Work,Mind,3.12
1822087123,2023-01-05,2028-09-23,9,Probably,N/A,2.49
1584956715,2023-05-19,2025-01-29,104,Bag,Less,2.7
1813997095,2025-01-05,2028-07-25,17,Huge,Past,2.79
1044365141,2022-07-07,2022-07-08,71,Realize,N/A,2.34
1748206773,2023-08-16,2026-06-24,29,Perhaps,Generation,2.67
1391014484,2024-02-27,2030-02-18,37,Democrat,N/A,3.54
1725474919,2021-06-07,2024-11-19,30,Mrs,N/A,3.18
1284431719,2023-02-09,2025-01-01,1,Street,Man,3.73
1371468525,2022-08-21,2022-11-21,99,Impact,N/A,3.48
1746432415,2023-09-19,2025-01-04,56,Main,N/A,2.1
1518445648,2024-06-25,2024-07-08,63,Point,N/A,2.21
1795111626,2025-06-13,2028-11-03,78,Prepare,Own,3.62
1302452481,2024-01-14,2027-08-12,116,Policy,Car,2.16
1928396687,2025-09-24,2028-03-26,79,Art,Method,3.91
1955945701,2023-10-15,2028-06-12,21,Age,N/A,3.98
1372884130,2022-03-13,2029-11-02,103,Factor,N/A,3.4
1947848717,2023-01-05,2027-08-18,23,Room,Anyone,2.82
1649001274,2023-05-16,2027-03-17,112,Military,N/A,2.55
1958087758,2021-07-26,2027-12-05,88,Cut,N/A,3.02
1115608652,2021-05-24,2024-05-21,93,Discussion,Seem,2.71
1099807537,2022-12-17,2026-04-16,43,Carry,N/A,2.51
1511750197,2024-06-29,2024-08-14,43,Participant,Serious,3.09
1068491638,2022-11-30,2023-04-21,134,Church,Investment,3.69
1762474545,2023-11-29,2024-05-25,23,Movement,Word,2.3
1719670537,2023-09-22,2028-07-27,39,Own,N/A,2.96
1131292006,2023-05-16,2027-05-26,105,All,Especially,2.83
1959497007,2024-11-29,2026-09-22,96,Again,N/A,3.04
1080968039,2022-11-09,2024-01-08,118,Choice,N/A,3.66
1501006035,2020-11-20,2021-01-11,57,Church,Offer,3.29
1417887412,2024-09-07,2028-03-02,48,Drop,N/A,2.63
1878882996,2022-04-11,2027-01-02,111,Fund,N/A,3.86
1576597405,2021-01-10,2026-07-24,53,Report,N/A,3.98
1128598864,2022-10-05,2027-11-07,132,Idea,N/A,3.76
1137399086,2023-09-22,2024-10-22,46,Stand,N/A,3.71
1839008603,2021-12-22,2029-03-30,37,Seat,There,2.41
1165255992,2023-04-04,2029-11-26,35,Young,N/A,3.48
1510452453,2020-12-18,2024-03-25,81,Career,N/A,3.91
1459356190,2023-08-01,2025-04-09,119,Its,Out,3.06
1737805020,2020-12-26,2028-02-18,51,Worker,N/A,2.51
1224695313,2024-03-23,2028-09-23,23,Too,N/A,2.35
1513098784,2025-05-01,2028-08-28,39,Something,Evening,2.07
1432583643,2022-01-27,2023-08-16,125,Safe,N/A,3.89
1679258786,2022-01-27,2022-12-07,76,Letter,N/A,2.64
1096274395,2022-02-25,2023-03-18,27,Republican,N/A,3.51
1113305575,2025-03-06,2026-05-12,9,Edge,Four,2.25
1395078887,2022-07-17,2024-05-15,91,Sing,Nearly,2.11
1869741785,2025-02-05,2025-08-13,15,Heart,N/A,3.19
1872656453,2023-02-02,2026-05-13,104,Call,N/A,2.97
1585716616,2022-09-24,2029-06-10,127,Lead,Time,2.51
1360055500,2023-09-26,2024-02-12,17,Audience,Land,3.6
1775614818,2024-08-15,2025-04-15,21,Grow,N/A,3.44
1780358632,2024-09-03,2026-11-25,57,Performance,N/A,2.41
1479219759,2024-04-01,2026-12-24,14,Lot,Parent,2.36
1614814301,2023-12-23,2026-05-18,18,Least,N/A,2.45
1546383110,2024-01-08,2028-04-08,101,Garden,Arm,2.19
1526908390,2021-12-23,2029-09-25,27,Increase,N/A,2.81
1351778914,2022-04-06,2025-10-28,12,Change,Condition,2.23
1403956273,2023-11-13,2028-08-17,41,Eat,N/A,2.68
1655638615,2024-02-21,2026-05-05,116,Pull,N/A,3.17
1898349405,2025-02-04,2028-01-27,99,Particularly,Community,3.2
1123654012,2025-01-29,2027-03-21,35,Sometimes,N/A,3.63
1177186128,2024-06-30,2030-01-05,133,His,N/A,2.08
1577992834,2021-08-27,2024-12-02,29,Within,Total,3.99
1519510573,2022-01-11,2026-06-16,121,Stage,N/A,2.49
1898615799,2021-03-26,2027-12-08,140,Field,Remember,3.75
1513200941,2021-08-28,2022-07-17,29,Book,Sing,2.85
1292415124,2021-09-12,2025-05-30,34,Interest,N/A,3.76
1462543451,2024-05-30,2029-08-30,0,Forward,N/A,3.35
1347393558,2021-10-08,2026-06-11,56,Theory,N/A,2.57
1499380100,2024-02-24,2030-02-20,7,Put,Politics,3.53
1225757674,2021-09-28,2026-05-30,86,Claim,Per,2.89
1367748909,2024-05-06,2027-10-09,60,Organization,Seek,3.25
1000962793,2025-07-17,2030-05-22,101,Avoid,Human,3.97
1996870002,2025-08-10,2030-04-09,51,Sign,N/A,2.4
1650960702,2021-02-26,2024-07-25,25,Street,N/A,2.96
1812984139,2021-10-09,2023-06-07,132,Million,Establish,3.2
1553013884,2025-09-18,2030-02-13,81,Crime,N/A,2.66
1034072632,2025-04-03,2028-01-03,10,Hair,News,2.76
1050831870,2025-02-10,2029-11-17,125,Future,Person,2.95
1667196319,2024-02-12,2024-06-05,60,Magazine,Behind,3.08
1993844572,2022-10-05,2029-09-12,38,Letter,About,2.19
1093495540,2025-07-02,2030-03-18,2,Former,N/A,2.62
1001263160,2022-12-03,2028-10-28,109,Society,N/A,3.3
1230919493,2024-05-31,2025-08-28,6,I,N/A,3.88
1532466866,2024-03-02,2026-01-15,95,Member,N/A,2.13
1027600727,2022-06-06,2023-02-10,126,Soon,N/A,2.83
1914559456,2022-08-09,2023-01-17,89,Child,N/A,2.3
1480946127,2023-02-04,2024-05-03,19,Include,N/A,3.2
1674958975,2021-10-08,2027-04-01,119,Describe,N/A,3.51
1126970595,2021-02-16,2026-10-06,33,Method,N/A,2.91
1928951321,2025-02-03,2026-07-06,71,Indeed,Shake,3.76
1103618648,2025-04-08,2026-11-20,139,Develop,Find,3.79
1369303812,2024-10-03,2026-04-28,96,Few,Themselves,2.95
1891611223,2020-11-14,2027-08-14,130,Response,N/A,3.64
1043879716,2022-07-28,2027-07-11,28,Director,N/A,2.39
1635594430,2023-04-29,2027-01-08,35,Next,Anything,3.25
1679755967,2021-12-18,2027-11-19,55,Its,N/A,3.58
1356111145,2023-04-25,2028-09-15,56,Particularly,N/A,2.19
1817633103,2023-01-10,2030-03-07,2,Growth,N/A,3.74
1695494121,2023-12-25,2029-09-07,134,Structure,Weight,2.17
